epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.2543,0.60566,0.894,0.98577,0.90102,0.76413,0.84143,0.72499,0.68649,0.79474,1.0024,0.000175,0.000175,0.000175
2,105.923,0.62138,0.90596,0.98962,0.90816,0.72542,0.84206,0.72205,0.69161,0.79701,1.00946,0.00033646,0.00033646,0.00033646
3,157.398,0.63126,0.84853,1.0071,0.91972,0.75458,0.85059,0.72858,0.69401,0.8031,1.00621,0.000484034,0.000484034,0.000484034
4,209.455,0.62273,0.79793,0.99451,0.90749,0.75025,0.84751,0.72588,0.70176,0.81944,1.01511,0.000463511,0.000463511,0.000463511
5,260.383,0.62778,0.76345,0.99245,0.91729,0.7638,0.8496,0.72846,0.69049,0.77451,1.00407,0.000442682,0.000442682,0.000442682
6,310.845,0.60967,0.70161,0.98482,0.91114,0.77068,0.85458,0.7327,0.69161,0.73457,0.99953,0.000421852,0.000421852,0.000421852
7,361.114,0.60449,0.66578,0.9841,0.8871,0.77344,0.86164,0.74177,0.68163,0.75301,0.99898,0.000401022,0.000401022,0.000401022
8,411.505,0.603,0.62672,0.97441,0.89506,0.7885,0.86967,0.751,0.68115,0.69942,0.99292,0.000380193,0.000380193,0.000380193
9,462.231,0.59279,0.61176,0.97222,0.92348,0.7695,0.86636,0.74696,0.67278,0.69179,0.98886,0.000359363,0.000359363,0.000359363
10,512.566,0.58482,0.58593,0.96476,0.93423,0.77916,0.86891,0.7499,0.6714,0.66625,0.98511,0.000338534,0.000338534,0.000338534
11,563.931,0.57726,0.5736,0.95926,0.93298,0.78228,0.87324,0.75816,0.66181,0.66041,0.98397,0.000317704,0.000317704,0.000317704
12,612.612,0.5777,0.54988,0.95724,0.93322,0.78777,0.87818,0.7626,0.65522,0.6489,0.97969,0.000296874,0.000296874,0.000296874
13,661.025,0.55993,0.52746,0.94801,0.94871,0.79322,0.88077,0.76452,0.65131,0.65062,0.97707,0.000276045,0.000276045,0.000276045
14,709.544,0.55966,0.53164,0.94683,0.95076,0.78189,0.88381,0.76651,0.64509,0.61303,0.97261,0.000255215,0.000255215,0.000255215
15,757.221,0.55127,0.50578,0.94129,0.92654,0.80397,0.88531,0.76621,0.65314,0.62499,0.97269,0.000234386,0.000234386,0.000234386
16,832.085,0.54293,0.49686,0.94267,0.92683,0.80315,0.88657,0.77203,0.6372,0.61877,0.96705,0.000213556,0.000213556,0.000213556
17,882.926,0.54215,0.48951,0.9434,0.9463,0.80043,0.88129,0.76627,0.6443,0.61164,0.96901,0.000192726,0.000192726,0.000192726
18,934.034,0.5351,0.47299,0.92912,0.94339,0.80274,0.88745,0.77172,0.63788,0.59996,0.96678,0.000171897,0.000171897,0.000171897
19,985.358,0.52171,0.45236,0.92785,0.94999,0.78449,0.88953,0.77944,0.63169,0.58738,0.96214,0.000151067,0.000151067,0.000151067
20,1035.52,0.5182,0.45297,0.92073,0.93312,0.80175,0.88814,0.77664,0.62941,0.58151,0.96485,0.000130238,0.000130238,0.000130238
21,1086.01,0.5127,0.44328,0.91885,0.94046,0.79895,0.88962,0.77914,0.6268,0.58281,0.96368,0.000109408,0.000109408,0.000109408
22,1136.54,0.51133,0.43111,0.91832,0.94899,0.80517,0.89242,0.78074,0.62427,0.58088,0.96241,8.85784e-05,8.85784e-05,8.85784e-05
23,1186.87,0.5023,0.42955,0.9135,0.92857,0.80508,0.89164,0.78106,0.62841,0.57173,0.96552,6.77488e-05,6.77488e-05,6.77488e-05
24,1238.06,0.50047,0.42267,0.9107,0.95626,0.79698,0.89245,0.78276,0.62412,0.56952,0.96277,4.69192e-05,4.69192e-05,4.69192e-05
25,1289.04,0.50128,0.41959,0.91854,0.94943,0.80526,0.89483,0.78518,0.6235,0.56607,0.95948,2.60896e-05,2.60896e-05,2.60896e-05
