epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.554,1.38306,5.34103,1.61455,0.02758,0.01859,0.01513,0.01419,1.3857,3.80568,2.15333,7.364e-05,7.364e-05,7.364e-05
2,30.7449,0.92779,4.87527,1.32271,0.03777,0.48662,0.06181,0.04857,0.88014,3.71276,1.28129,0.000146499,0.000146499,0.000146499
3,43.1637,0.88128,4.24494,1.28505,0.01716,0.69908,0.0963,0.07132,0.84228,3.51806,1.251,0.00021311,0.00021311,0.00021311
4,58.6383,0.88156,3.99263,1.20419,0.01065,0.74003,0.1229,0.09632,0.80158,3.33221,1.17192,0.000273472,0.000273472,0.000273472
5,74.0492,0.77239,3.81628,1.13445,0.37499,0.05195,0.13375,0.10803,0.79859,3.0716,1.16046,0.000327584,0.000327584,0.000327584
6,91.9937,0.758,3.7576,1.14085,0.29704,0.1197,0.17055,0.13334,0.80556,2.87379,1.16655,0.000375448,0.000375448,0.000375448
7,110.921,0.76309,3.49356,1.07746,0.22954,0.303,0.20029,0.16399,0.78632,2.50013,1.13459,0.000401022,0.000401022,0.000401022
8,129.413,0.70915,3.42664,1.04373,0.26878,0.46715,0.23533,0.18888,0.81586,2.3284,1.15086,0.000380193,0.000380193,0.000380193
9,147.72,0.71328,3.33528,1.09676,0.25519,0.42947,0.23959,0.19434,0.80999,2.28634,1.15348,0.000359363,0.000359363,0.000359363
10,165.673,0.68008,3.13199,1.08913,0.28966,0.43295,0.28249,0.23098,0.77697,2.11506,1.13139,0.000338534,0.000338534,0.000338534
11,182.648,0.81674,3.19903,1.05651,0.33995,0.46453,0.31962,0.25931,0.77883,2.03692,1.11587,0.000317704,0.000317704,0.000317704
12,200.138,0.63761,2.89009,1.02164,0.36827,0.43251,0.35094,0.28357,0.76467,1.98882,1.10991,0.000296874,0.000296874,0.000296874
13,218.708,0.67021,2.85254,0.99764,0.36938,0.45386,0.35094,0.28169,0.79296,1.98395,1.13771,0.000276045,0.000276045,0.000276045
14,237.514,0.60806,2.71139,0.98814,0.41998,0.45076,0.41129,0.34095,0.76278,1.85722,1.10857,0.000255215,0.000255215,0.000255215
15,255.659,0.57355,2.54472,0.98046,0.43966,0.47401,0.43662,0.36236,0.75275,1.83032,1.10314,0.000234386,0.000234386,0.000234386
16,305.543,0.56052,2.45488,0.96379,0.45487,0.4707,0.4529,0.37562,0.74326,1.76804,1.09419,0.000213556,0.000213556,0.000213556
17,323.136,0.58039,2.33059,0.98702,0.47391,0.48638,0.48384,0.40252,0.74742,1.68242,1.09805,0.000192726,0.000192726,0.000192726
18,341.624,0.56977,2.28453,1.03074,0.49102,0.51608,0.49875,0.41796,0.74231,1.62477,1.09638,0.000171897,0.000171897,0.000171897
19,360.161,0.55677,2.24246,1.00153,0.50736,0.51822,0.51278,0.43027,0.72902,1.60995,1.07781,0.000151067,0.000151067,0.000151067
20,378.53,0.56153,2.18123,0.93308,0.54008,0.47663,0.51819,0.43509,0.72773,1.63146,1.07199,0.000130238,0.000130238,0.000130238
21,396.097,0.5221,2.06499,0.9298,0.54751,0.48684,0.53246,0.44924,0.72908,1.59222,1.07177,0.000109408,0.000109408,0.000109408
22,413.481,0.51021,2.00598,0.92047,0.61104,0.48701,0.55054,0.46835,0.71913,1.55554,1.0623,8.85784e-05,8.85784e-05,8.85784e-05
23,431.232,0.51829,1.91642,0.92124,0.61285,0.50636,0.56016,0.477,0.71533,1.52277,1.06255,6.77488e-05,6.77488e-05,6.77488e-05
24,449.025,0.58706,2.06525,0.96606,0.59939,0.51879,0.56372,0.48078,0.71501,1.50824,1.06176,4.69192e-05,4.69192e-05,4.69192e-05
25,467.772,0.49728,2.08436,0.93374,0.62452,0.49334,0.56562,0.48166,0.71352,1.50193,1.06062,2.60896e-05,2.60896e-05,2.60896e-05
