epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.8007,1.75652,4.40521,1.79973,0.46868,0.36887,0.34595,0.28548,1.11494,2.40586,1.42619,0.000174063,0.000174063,0.000174063
2,40.1174,1.18088,3.43346,1.42895,0.40761,0.39275,0.38181,0.31682,0.999,2.08462,1.2808,0.00033556,0.00033556,0.00033556
3,59.3157,0.95849,3.05907,1.25095,0.43849,0.46511,0.42571,0.35283,0.94703,2.03412,1.22406,0.000483171,0.000483171,0.000483171
4,78.4173,0.90255,2.83762,1.20751,0.4445,0.48861,0.43958,0.37248,0.86334,1.86937,1.1595,0.000463511,0.000463511,0.000463511
5,97.6315,0.8803,2.66669,1.1917,0.50825,0.53986,0.48947,0.40928,0.86203,1.72296,1.16662,0.000442682,0.000442682,0.000442682
6,116.795,0.82811,2.44758,1.14538,0.48033,0.5972,0.51129,0.42754,0.83392,1.63443,1.14957,0.000421852,0.000421852,0.000421852
7,135.946,0.79311,2.29952,1.12599,0.58233,0.59744,0.54845,0.45833,0.80841,1.61177,1.11386,0.000401022,0.000401022,0.000401022
8,155.059,0.773,2.22708,1.10995,0.5517,0.54895,0.55509,0.46703,0.80257,1.56526,1.11355,0.000380193,0.000380193,0.000380193
9,174.263,0.77913,2.1155,1.11107,0.62369,0.57622,0.59327,0.50106,0.79986,1.5093,1.11066,0.000359363,0.000359363,0.000359363
10,193.311,0.76374,2.06685,1.10203,0.63558,0.55758,0.58291,0.49307,0.77958,1.48387,1.09989,0.000338534,0.000338534,0.000338534
11,212.656,0.72375,1.91368,1.08081,0.65503,0.606,0.62218,0.52797,0.76336,1.44482,1.08328,0.000317704,0.000317704,0.000317704
12,231.864,0.70902,1.81956,1.07455,0.66409,0.60866,0.63102,0.53653,0.76316,1.39055,1.08308,0.000296874,0.000296874,0.000296874
13,250.854,0.68013,1.75679,1.05304,0.66555,0.60559,0.63094,0.53099,0.76774,1.36887,1.08428,0.000276045,0.000276045,0.000276045
14,269.8,0.68368,1.64451,1.05746,0.65478,0.62573,0.6477,0.54917,0.76156,1.34384,1.06937,0.000255215,0.000255215,0.000255215
15,288.617,0.69009,1.61545,1.04219,0.6862,0.64288,0.66916,0.5679,0.7578,1.28613,1.07058,0.000234386,0.000234386,0.000234386
16,330.226,0.67812,1.56592,1.0429,0.68722,0.66076,0.67681,0.57846,0.74985,1.25541,1.06764,0.000213556,0.000213556,0.000213556
17,349.553,0.65945,1.51673,1.02746,0.74775,0.63785,0.6926,0.5916,0.7353,1.24435,1.06006,0.000192726,0.000192726,0.000192726
18,368.725,0.6525,1.50016,1.04879,0.70818,0.67148,0.69609,0.59496,0.74333,1.23859,1.06906,0.000171897,0.000171897,0.000171897
19,387.545,0.65747,1.50551,1.02302,0.74226,0.66942,0.7032,0.6027,0.7391,1.22478,1.05897,0.000151067,0.000151067,0.000151067
20,406.417,0.63696,1.4396,1.02308,0.78543,0.63355,0.71034,0.60803,0.73585,1.1889,1.05494,0.000130238,0.000130238,0.000130238
21,425.238,0.62707,1.40734,1.00707,0.75414,0.64769,0.70477,0.60156,0.74261,1.19943,1.0581,0.000109408,0.000109408,0.000109408
22,443.738,0.63509,1.38461,1.02772,0.80807,0.63276,0.71743,0.6153,0.73056,1.18459,1.04947,8.85784e-05,8.85784e-05,8.85784e-05
23,462.642,0.62707,1.35959,1.02023,0.83166,0.6219,0.71672,0.61846,0.72811,1.16877,1.0464,6.77488e-05,6.77488e-05,6.77488e-05
24,481.481,0.61873,1.34448,1.00566,0.78221,0.63649,0.71528,0.61565,0.72648,1.17231,1.04553,4.69192e-05,4.69192e-05,4.69192e-05
25,500.778,0.60837,1.35301,1.00783,0.79172,0.62894,0.71481,0.61489,0.72837,1.17103,1.04512,2.60896e-05,2.60896e-05,2.60896e-05
