epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.6797,1.24026,5.17637,1.51844,0.00986,0.69095,0.05203,0.03893,0.91526,3.64299,1.30214,0.000172755,0.000172755,0.000172755
2,29.0434,0.98174,4.58085,1.30524,0.14761,0.24536,0.12385,0.08996,0.98754,2.76512,1.28085,0.000334304,0.000334304,0.000334304
3,42.4214,0.94454,4.13536,1.26779,0.18672,0.29029,0.16157,0.12168,1.02903,2.58646,1.34297,0.000481967,0.000481967,0.000481967
4,55.9854,0.91233,3.92163,1.25358,0.15621,0.32234,0.17162,0.11842,1.13553,2.64741,1.53291,0.000463511,0.000463511,0.000463511
5,69.3152,0.90596,3.82657,1.14259,0.18843,0.3472,0.18651,0.1441,0.93257,2.50891,1.23086,0.000442682,0.000442682,0.000442682
6,82.6225,0.8969,3.61857,1.19385,0.21685,0.38212,0.21112,0.16839,0.91581,2.42507,1.18426,0.000421852,0.000421852,0.000421852
7,96.3044,0.82106,3.48002,1.11234,0.23719,0.39836,0.23116,0.18566,0.92092,2.28301,1.18779,0.000401022,0.000401022,0.000401022
8,109.772,0.82702,3.28661,1.1248,0.25836,0.34132,0.23717,0.19419,0.86595,2.23914,1.12667,0.000380193,0.000380193,0.000380193
9,123.426,0.76202,3.20159,1.07245,0.26635,0.38926,0.26559,0.21654,0.82601,2.20595,1.09917,0.000359363,0.000359363,0.000359363
10,136.886,0.74265,3.0913,1.05577,0.31361,0.38081,0.29722,0.24178,0.84522,2.12707,1.11775,0.000338534,0.000338534,0.000338534
11,150.529,0.74487,2.94032,1.05087,0.31287,0.49367,0.33404,0.26822,0.84273,2.12181,1.12291,0.000317704,0.000317704,0.000317704
12,163.923,0.74111,2.89304,1.06609,0.33026,0.49913,0.33828,0.27354,0.84522,2.18997,1.11103,0.000296874,0.000296874,0.000296874
13,177.215,0.75079,2.85077,1.05078,0.35191,0.4393,0.34792,0.28136,0.83405,2.04537,1.12797,0.000276045,0.000276045,0.000276045
14,190.555,0.69597,2.68928,1.01274,0.4048,0.43999,0.39906,0.33207,0.79982,1.96389,1.08663,0.000255215,0.000255215,0.000255215
15,204.013,0.7372,2.68945,1.06866,0.42067,0.4917,0.40629,0.3318,0.81437,2.01078,1.10855,0.000234386,0.000234386,0.000234386
16,245.843,0.66899,2.50761,1.01634,0.43251,0.47579,0.4172,0.3455,0.80247,1.92043,1.09977,0.000213556,0.000213556,0.000213556
17,259.294,0.63506,2.43694,1.00337,0.47185,0.47598,0.44439,0.37031,0.79732,1.8174,1.10217,0.000192726,0.000192726,0.000192726
18,272.59,0.65772,2.41077,0.99082,0.45092,0.51461,0.46456,0.38945,0.79339,1.77768,1.08805,0.000171897,0.000171897,0.000171897
19,285.975,0.61998,2.28054,0.95773,0.46132,0.55915,0.47728,0.40192,0.77491,1.79819,1.07477,0.000151067,0.000151067,0.000151067
20,299.361,0.6211,2.25816,0.99389,0.49561,0.52,0.49217,0.41634,0.76787,1.83331,1.06799,0.000130238,0.000130238,0.000130238
21,313.301,0.58169,2.16848,0.95882,0.49526,0.52477,0.49633,0.41966,0.75841,1.74579,1.06094,0.000109408,0.000109408,0.000109408
22,326.783,0.60998,2.0774,0.9589,0.5085,0.55992,0.50278,0.42429,0.76983,1.68029,1.06287,8.85784e-05,8.85784e-05,8.85784e-05
23,340.049,0.5972,2.02281,0.95405,0.516,0.54795,0.50828,0.42996,0.76869,1.66961,1.06195,6.77488e-05,6.77488e-05,6.77488e-05
24,354.015,0.57053,2.05778,0.95099,0.52747,0.56116,0.52022,0.44243,0.7578,1.65084,1.05317,4.69192e-05,4.69192e-05,4.69192e-05
25,367.304,0.56576,1.96804,0.94151,0.54665,0.54363,0.52308,0.44413,0.7505,1.65572,1.05081,2.60896e-05,2.60896e-05,2.60896e-05
